Column Name	#	Data Type	Length	Scale	Not Null	Auto Generated	Auto Increment	Default	Description
Payer Id	1	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Payer Id	2	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Contract Id	3	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Contract Id	4	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Provider Id	5	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Provider Id	6	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Environment	7	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Not Rounding Visit Time	8	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Chha Vendor Id	9	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Bill Unbalanced	10	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Missed Visit	11	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Temp Aide	12	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Non Aide Compliant	13	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Non POC Compliant	14	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Overlapping Patient	15	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Overlapping Aide	16	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Restricted Aide	17	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Timesheet Not Approved	18	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Insufficient Duty Minutes	19	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Missing Clinical Document	20	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Non Custom Validation Compliance	21	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Non Mediciand Compliance	22	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Open Event	23	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Over 24 Hours	24	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Unauthorized	25	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Usage Tags	26	VARIANT	[NULL]	[NULL]	false	false	false	[NULL]	
