Column Name	#	Data Type	Length	Scale	Not Null	Auto Generated	Auto Increment	Default	Description
Environment	1	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Caregiver Vacation Id	2	NUMBER	38	5	false	false	false	[NULL]	
Application Caregiver Id	3	NUMBER	38	5	false	false	false	[NULL]	
Global Caregiver Id	4	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Start Date	5	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
End Date	6	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Duration	7	NUMBER	38	[NULL]	false	false	false	[NULL]	
Notes	8	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Caregiver Absence Type Id	9	NUMBER	38	5	false	false	false	[NULL]	
Absence Type Name	10	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Absence Type Description	11	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Active	12	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Application Service Code Id	13	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Service Code Id	14	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Application Contract Id	15	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Contract Id	16	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Application Provider Id	17	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Provider Id	18	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Application Office Id	19	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Office Id	20	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Created Date	21	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Created By	22	NUMBER	38	5	false	false	false	[NULL]	
Updated Date	23	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Updated By	24	NUMBER	38	5	false	false	false	[NULL]	
Usage Tags	25	VARIANT	[NULL]	[NULL]	false	false	false	[NULL]	
Source System	26	VARCHAR	3	[NULL]	false	false	false	[NULL]	
