Column Name	#	Data Type	Length	Scale	Not Null	Auto Generated	Auto Increment	Default	Description
Visit Id	1	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Application Visit Id	2	VARCHAR	50	[NULL]	false	false	false	[NULL]	
External Visit Id	3	VARCHAR	200	[NULL]	false	false	false	[NULL]	
External EVV MS Id	4	VARCHAR	200	[NULL]	false	false	false	[NULL]	
External Source	5	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Visit Date Id	6	NUMBER	38	[NULL]	false	false	false	[NULL]	
Visit Date	7	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Scheduled Start Time	8	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Scheduled End Time	9	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Confirmed Scheduled Start Time	10	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Confirmed Scheduled End Time	11	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Visit Start Time	12	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Visit End Time	13	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Is Skilled Visit	14	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Is Missed	15	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Edit Notes	16	VARCHAR	8000	[NULL]	false	false	false	[NULL]	
Is Confirmed	17	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Discipline	18	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Discipline Type	19	VARCHAR	50	[NULL]	false	false	false	[NULL]	
External Invoice Number	20	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Contract Bill Rate	21	NUMBER	38	6	false	false	false	[NULL]	
Scheduled Duration Minutes	22	NUMBER	38	[NULL]	false	false	false	[NULL]	
Schedule Type	23	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Bill Type	24	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Contract Adjusted Minutes	25	NUMBER	38	[NULL]	false	false	false	[NULL]	
Visit Source	26	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Visit Time	27	VARCHAR	9	[NULL]	false	false	false	[NULL]	
Visit Time With Time Format	28	VARCHAR	15	[NULL]	false	false	false	[NULL]	
